Transporter,Transporter_Superfamily
1.A.16.1.1,Major Intrinsic Protein (MIP) Superfamily
1.A.16.1.2,Major Intrinsic Protein (MIP) Superfamily
1.A.16.1.3,Major Intrinsic Protein (MIP) Superfamily
1.A.16.2.1,Major Intrinsic Protein (MIP) Superfamily
1.A.16.2.2,Major Intrinsic Protein (MIP) Superfamily
1.A.16.2.3,Major Intrinsic Protein (MIP) Superfamily
1.A.16.2.4,Major Intrinsic Protein (MIP) Superfamily
1.A.16.2.5,Major Intrinsic Protein (MIP) Superfamily
1.A.16.2.6,Major Intrinsic Protein (MIP) Superfamily
1.A.16.2.7,Major Intrinsic Protein (MIP) Superfamily
1.A.16.2.8,Major Intrinsic Protein (MIP) Superfamily
1.A.16.2.9,Major Intrinsic Protein (MIP) Superfamily
1.A.16.3.1,Major Intrinsic Protein (MIP) Superfamily
1.A.16.3.2,Major Intrinsic Protein (MIP) Superfamily
1.A.16.3.3,Major Intrinsic Protein (MIP) Superfamily
1.A.16.3.4,Major Intrinsic Protein (MIP) Superfamily
1.A.16.3.5,Major Intrinsic Protein (MIP) Superfamily
1.A.16.4.1,Major Intrinsic Protein (MIP) Superfamily
1.A.16.4.2,Major Intrinsic Protein (MIP) Superfamily
1.A.16.4.3,Major Intrinsic Protein (MIP) Superfamily
1.A.16.5.1,Major Intrinsic Protein (MIP) Superfamily
1.A.16.5.2,Major Intrinsic Protein (MIP) Superfamily
1.A.17.1.1,Anoctamin Superfamily
1.A.17.1.10,Anoctamin Superfamily
1.A.17.1.11,Anoctamin Superfamily
1.A.17.1.12,Anoctamin Superfamily
1.A.17.1.13,Anoctamin Superfamily
1.A.17.1.14,Anoctamin Superfamily
1.A.17.1.15,Anoctamin Superfamily
1.A.17.1.16,Anoctamin Superfamily
1.A.17.1.17,Anoctamin Superfamily
1.A.17.1.18,Anoctamin Superfamily
1.A.17.1.19,Anoctamin Superfamily
1.A.17.1.2,Anoctamin Superfamily
1.A.17.1.20,Anoctamin Superfamily
1.A.17.1.21,Anoctamin Superfamily
1.A.17.1.22,Anoctamin Superfamily
1.A.17.1.23,Anoctamin Superfamily
1.A.17.1.24,Anoctamin Superfamily
1.A.17.1.25,Anoctamin Superfamily
1.A.17.1.26,Anoctamin Superfamily
1.A.17.1.27,Anoctamin Superfamily
1.A.17.1.28,Anoctamin Superfamily
1.A.17.1.29,Anoctamin Superfamily
1.A.17.1.3,Anoctamin Superfamily
1.A.17.1.30,Anoctamin Superfamily
1.A.17.1.31,Anoctamin Superfamily
1.A.17.1.4,Anoctamin Superfamily
1.A.17.1.5,Anoctamin Superfamily
1.A.17.1.6,Anoctamin Superfamily
1.A.17.1.7,Anoctamin Superfamily
1.A.17.1.8,Anoctamin Superfamily
1.A.17.1.9,Anoctamin Superfamily
1.A.17.2.1,Anoctamin Superfamily
1.A.17.2.2,Anoctamin Superfamily
1.A.17.2.3,Anoctamin Superfamily
