CPD,Enzyme,Regulation
C00786,1.3.1.45,Substrate
C02675,1.3.1.46,Substrate
C02771,1.3.1.47,Substrate
C22454,1.3.1.48,Substrate
C04468,1.3.1.49,Substrate
C03567,1.3.1.51,Substrate
C06318,1.3.1.53,Substrate
C06319,1.3.1.54,Substrate
C06589,1.3.1.56,Substrate
C06719,1.3.1.57,Substrate
C06579,1.3.1.58,Substrate
C06721,1.3.1.60,Substrate
C01063,1.3.1.62,Substrate
C04783,1.3.1.64,Substrate
C06726,1.3.1.65,Substrate
C06727,1.3.1.66,Substrate
C06729,1.3.1.67,Substrate
C06731,1.3.1.68,Substrate
C02029,1.3.1.69,Substrate
C05108,1.3.1.70,Substrate
C01694,1.3.1.71,Substrate
C01189,1.3.1.72,Substrate
C11809,1.3.1.73,Substrate
C15596,1.3.1.74,Substrate
C02880,1.3.1.75,Substrate
C02463,1.3.1.76,Substrate
C22577,1.3.1.77,Substrate
C00826,1.3.1.78,Substrate
C00826,1.3.1.79,Substrate
C00843,1.3.1.81,Substrate
C11951,1.3.1.82,Substrate
C05427,1.3.1.83,Substrate
C00100,1.3.1.84,Substrate
C18026,1.3.1.85,Substrate
C00136,1.3.1.86,Substrate
C11588,1.3.1.87,Substrate
C00003,1.3.1.88,Substrate
C00003,1.3.1.89,Substrate
C00003,1.3.1.90,Substrate
C00003,1.3.1.91,Substrate
C20325,1.3.1.92,Substrate
C20876,1.3.1.93,Substrate
C00381,1.3.1.94,Substrate
C00100,1.3.1.95,Substrate
C00751,1.3.1.96,Substrate
C20432,1.3.1.97,Substrate
C01050,1.3.1.98,Substrate
C21897,1.3.1.100,Substrate
C20518,1.3.1.101,Substrate
C15596,1.3.1.102,Substrate
C20608,1.3.1.103,Substrate
C00173,1.3.1.104,Substrate
C20717,1.3.1.105,Substrate
C00003,1.3.1.106,Substrate
C05191,1.3.1.107,Substrate
C21175,1.3.1.108,Substrate
C00136,1.3.1.109,Substrate
C11242,1.3.1.111,Substrate
C21379,1.3.1.112,Substrate
C21773,1.3.1.113,Substrate
C21905,1.3.1.114,Substrate
C21910,1.3.1.115,Substrate
C21911,1.3.1.116,Substrate
C21913,1.3.1.117,Substrate
C22023,1.3.1.118,Substrate
C12837,1.3.1.119,Substrate
C09823,1.3.1.120,Substrate
C22210,1.3.1.121,Substrate
C22225,1.3.1.122,Substrate
C20615,1.3.1.123,Substrate
C05067,1.3.1.124,Substrate
C00163,1.3.1.125,Substrate
C01115,1.3.2.3,Substrate
C00042,1.3.2.4,Substrate
C03263,1.3.3.3,Substrate
C01079,1.3.3.4,Substrate
C00486,1.3.3.5,Substrate
C00040,1.3.3.6,Substrate
C00429,1.3.3.7,Substrate
C03329,1.3.3.8,Substrate
C00078,1.3.3.10,Substrate
C15599,1.3.3.11,Substrate
C01115,1.3.3.12,Substrate
C20519,1.3.3.13,Substrate
C18638,1.3.3.14,Substrate
C03263,1.3.3.15,Substrate
C00007,1.3.3.16,Substrate
C22487,1.3.3.17,Substrate
C00122,1.3.4.1,Substrate
C00042,1.3.5.1,Substrate
C00337,1.3.5.2,Substrate
C01079,1.3.5.3,Substrate
C05421,1.3.5.5,Substrate
C15857,1.3.5.6,Substrate
C04226,1.3.7.1,Substrate
C11630,1.3.7.2,Substrate
C05912,1.3.7.3,Substrate
C05913,1.3.7.4,Substrate
C05786,1.3.7.5,Substrate
C05912,1.3.7.6,Substrate
C02139,1.3.7.7,Substrate
C06322,1.3.7.8,Substrate
C22634,1.3.7.11,Substrate
C18098,1.3.7.12,Substrate
C02880,1.3.7.13,Substrate
C21441,1.3.7.14,Substrate
C18152,1.3.7.15,Substrate
C20675,1.3.8.1,Substrate
C16144,1.3.8.2,Substrate
C09817,1.3.8.3,Substrate
C02939,1.3.8.4,Substrate
C01033,1.3.8.5,Substrate
C00527,1.3.8.6,Substrate
C21926,1.3.8.7,Substrate
C02843,1.3.8.8,Substrate
C20876,1.3.8.9,Substrate
C09811,1.3.8.10,Substrate
C09823,1.3.8.11,Substrate
C18324,1.3.8.12,Substrate
C20749,1.3.8.13,Substrate
C12470,1.3.8.14,Substrate
C01744,1.3.8.15,Substrate
C18054,1.3.8.16,Substrate
C19153,1.3.8.17,Substrate
C00337,1.3.98.1,Substrate
C03263,1.3.98.3,Substrate
C06570,1.3.98.4,Substrate
C21284,1.3.98.5,Substrate
C21284,1.3.98.6,Substrate
C22344,1.3.98.7,Substrate
C01876,1.3.99.4,Substrate
C02940,1.3.99.5,Substrate
C02797,1.3.99.6,Substrate
C00845,1.3.99.8,Substrate
C00414,1.3.99.14,Substrate
C06323,1.3.99.16,Substrate
C06413,1.3.99.17,Substrate
C06325,1.3.99.18,Substrate
C06414,1.3.99.19,Substrate
C15492,1.3.99.23,Substrate
C00028,1.3.99.25,Substrate
C05430,1.3.99.26,Substrate
