Name,miRNA
Pou4f2,mmu-miR-214-3p
Pou4f2,mmu-miR-128-3p
Rtl1,mmu-miR-23b-3p
Kit,mmu-miR-221-3p
Kit,mmu-miR-221-3p
Kit,mmu-miR-222-3p
Hoxa,mmu-miR-181a-5p
Ptbp2,mmu-miR-133b-3p
Hdac4,mmu-miR-133a-3p
Srf,mmu-miR-1a-3p
Bdnf,mmu-miR-124-3p
Bdnf,mmu-let-7d-5p
Drd3,mmu-let-7d-5p
Drd3,mmu-miR-124-3p
Smad3,mmu-miR-27b-3p
Smad3,mmu-miR-24-3p
Smad3,mmu-miR-24-3p
Smad4,mmu-miR-27b-3p
Smad4,mmu-miR-24-3p
Smad4,mmu-miR-24-3p
Smad5,mmu-miR-27b-3p
Smad5,mmu-miR-24-3p
Lmnb1,mmu-miR-23a-3p
Lmnb1,mmu-miR-23b-3p
COX2,mmu-miR-101a-3p
Dusp2,mmu-miR-29b-3p
Ctnnbip1,mmu-miR-29b-3p
Acvr2a,mmu-miR-29b-3p
Tgfb3,mmu-miR-29b-3p
Hdac4,mmu-miR-29b-3p
Hdac4,mmu-miR-29b-3p
Col5a3,mmu-miR-29b-3p
Col4a2,mmu-miR-29b-3p
Col4a2,mmu-miR-29b-3p
Tnf,mmu-miR-125b-5p
Rheb,mmu-miR-1a-3p
Rps6,mmu-miR-1a-3p
Nppa,mmu-miR-1a-3p
Rasa1,mmu-miR-1a-3p
Cdk9,mmu-miR-1a-3p
Cdk9,mmu-miR-1a-3p
Fn1,mmu-miR-1a-3p
Odc1,mmu-miR-27a-3p
Srm,mmu-miR-27a-3p
Acta1,mmu-miR-1a-3p
Myh6,mmu-miR-1a-3p
Phlpp1,mmu-miR-219a-5p
Rfx4,mmu-miR-132-3p
Jag1,mmu-miR-124-3p
Dlx2,mmu-miR-124-3p
Sox9,mmu-miR-124-3p
Inha,mmu-miR-503-5p
Inhba,mmu-miR-503-5p
Cyp19a1,mmu-miR-503-5p
Lhcgr,mmu-miR-503-5p
Esr2,mmu-miR-503-5p
Ar,mmu-miR-503-5p
Cdkn1b,mmu-miR-503-5p
Casp3,mmu-miR-503-5p
Ccnd2,mmu-miR-503-5p
Bcl2,mmu-miR-503-5p
Bcl2,mmu-miR-503-5p
Hoxb8,mmu-miR-196a-5p
Hoxb8,mmu-miR-196a-5p
Aicda,mmu-miR-181b-5p
Aicda,mmu-miR-19b-3p
Aicda,mmu-miR-30b-5p
Aicda,mmu-miR-149-5p
Slc35d3,mmu-miR-181b-5p
Ak4,mmu-miR-181b-5p
Ndrg1,mmu-miR-181b-5p
Pitpnc1,mmu-miR-181b-5p
Tmem14a,mmu-miR-181b-5p
Cd244,mmu-miR-181b-5p
Gch1,mmu-miR-181b-5p
Errfi1,mmu-miR-181b-5p
Hk2,mmu-miR-181b-5p
Mxi1,mmu-miR-181b-5p
Ccdc58,mmu-miR-181b-5p
Sc4mol,mmu-miR-181b-5p
Pfkfb3,mmu-miR-181b-5p
Pdxp,mmu-miR-181b-5p
Atp5g1,mmu-miR-181b-5p
Casp3,mmu-miR-181b-5p
Ulk3,mmu-miR-181b-5p
Snx25,mmu-miR-181b-5p
Higd1a,mmu-miR-181b-5p
Rtl1,mmu-miR-136-5p
Rtl1,mmu-miR-434-3p
Rtl1,mmu-miR-434-5p
Rtl1,mmu-miR-127-3p
Rtl1,mmu-miR-433-3p
Rtl1,mmu-miR-433-5p
Rtl1,mmu-miR-431-5p
App,mmu-miR-16-5p
Pax7,mmu-miR-1a-3p
Pola1,mmu-miR-1a-3p
Pola1,mmu-miR-133a-3p
Id1,mmu-miR-206-3p
Id2,mmu-miR-206-3p
Id3,mmu-miR-206-3p
Hhip,mmu-miR-206-3p
Ptplad1,mmu-miR-206-3p
Bdnf,mmu-miR-206-3p
Igsf5,mmu-miR-206-3p
Gja1,mmu-miR-1a-3p
Fshr,mmu-miR-503-5p
Acvr2b,mmu-miR-503-5p
Acvr2a,mmu-miR-503-5p
Cpa6,mmu-miR-140-5p
Ptbp2,mmu-miR-124-3p
Ep300,mmu-miR-132-3p
Kdm5a,mmu-miR-132-3p
Btg2,mmu-miR-132-3p
Paip2,mmu-miR-132-3p
Riok3,mmu-miR-191-5p
Mxi1,mmu-miR-191-5p
Dcx,mmu-miR-134-5p
Chrdl1,mmu-miR-134-5p
Tnf,mmu-miR-351-5p
Siah2,mmu-miR-351-5p
Siah2,mmu-miR-298-5p
Tnf,mmu-miR-298-5p
Tnf,mmu-miR-298-5p
Pea15a,mmu-miR-155-5p
Hand2,mmu-miR-363-3p
Tbx3,mmu-miR-363-3p
Tbx3,mmu-miR-137-3p
Tbx3,mmu-miR-153-3p
Klf4,mmu-miR-1a-3p
Lef1,mmu-miR-26b-5p
Creb1,mmu-miR-134-5p
Creb1,mmu-miR-134-5p
Ets1,mmu-miR-326-3p
Trim71,mmu-miR-125a-5p
Trim71,mmu-miR-125a-5p
Trim71,mmu-miR-125b-5p
Trim71,mmu-miR-125b-5p
Trim71,mmu-miR-128-3p
Nrip1,mmu-miR-33-5p
Sirt1,mmu-miR-9-5p
Bcl2l11,mmu-miR-29b-3p
Bmf,mmu-miR-29b-3p
Hrk,mmu-miR-29b-3p
Bbc3,mmu-miR-29b-3p
Bak1,mmu-miR-29b-3p
Eln,mmu-miR-15a-5p
Eln,mmu-miR-497a-5p
App,mmu-miR-135a-5p
App,mmu-miR-20a-5p
Hsf2,mmu-miR-18a-5p
Hsf2,mmu-miR-494-3p
